NRT_phase2_recuXp4TjZJ1mu	asks_for_help=否;calls_out_reader_group=否;comparison_group=否;divisive_claim=是;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=否;has_direct_quote=否;has_specific_place=否~0.41;has_specific_time=否;invites_sharing=否;judged_by_others=否;narrator_identity=否;negative_outcome_happened=是~0.55;opening_type=观点断言;own_experience=否;product_role=未出现;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase2_recuXYC07aiPXm	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=否~0.44;judged_by_others=是~0.53;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=否;turning_point=是~0.59;withholds_product_name=否
NRT_phase2_recuYs7CP28GTg	asks_for_help=否~0.42;calls_out_reader_group=否;comparison_group=是;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是~0.57;has_body_sensation=否~0.44;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=否;turning_point=是~0.61;withholds_product_name=否
NRT_phase2_recuYyYJm2KerZ	asks_for_help=是;calls_out_reader_group=否~0.47;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是;has_specific_place=否~0.35;has_specific_time=是;invites_sharing=否;judged_by_others=是~0.54;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=否~0.47;product_role=未出现;title_is_question=否;turning_point=是~0.64;withholds_product_name=否
NRT_phase2_recuYyYJm2MuYC	asks_for_help=是;calls_out_reader_group=否~0.48;comparison_group=是;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否~0.44;has_direct_quote=否;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=否;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=否;turning_point=否;withholds_product_name=否
NRT_phase2_recuZ8Lij7vGAj	asks_for_help=否;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=是;has_direct_quote=否;has_specific_place=是~0.53;has_specific_time=是;invites_sharing=否;judged_by_others=否;narrator_identity=否;negative_outcome_happened=是;opening_type=数据事实~0.51;own_experience=是;product_role=主角~0.52;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase2_recuZ8QQXiae2a	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否~0.47;has_direct_quote=否~0.39;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=否;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=否~0.50;product_role=未出现;title_is_question=是;turning_point=否~0.47;withholds_product_name=否
NRT_phase2_recuZkIQtVBW1l	asks_for_help=是;calls_out_reader_group=是~0.51;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=是;has_direct_quote=否;has_specific_place=是;has_specific_time=是;invites_sharing=是~0.58;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase2_recuZkJtsfhvnx	asks_for_help=否;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是~0.64;invites_sharing=否;judged_by_others=否;narrator_identity=是;negative_outcome_happened=否;opening_type=具体事件;own_experience=否~0.47;product_role=未出现;title_is_question=否;turning_point=是~0.51;withholds_product_name=否
NRT_phase2_recuZkJtsfPTQl	asks_for_help=否;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=否;has_direct_quote=否;has_specific_place=否;has_specific_time=否;invites_sharing=否;judged_by_others=否;narrator_identity=否;negative_outcome_happened=否;opening_type=观点断言;own_experience=是;product_role=未出现;title_is_question=否;turning_point=否~0.44;withholds_product_name=否
NRT_phase3_recv0wDwqPB9P5	asks_for_help=否~0.35;calls_out_reader_group=否;comparison_group=否;divisive_claim=否~0.44;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=是~0.65;has_direct_quote=否;has_specific_place=是~0.61;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=主角~0.55;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv0xer3f2I22	asks_for_help=否;calls_out_reader_group=否~0.37;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=是;has_direct_quote=否;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=否;narrator_identity=是;negative_outcome_happened=是;opening_type=感叹情绪~0.38;own_experience=是;product_role=解决方案;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv0xer3flcF3	asks_for_help=否;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=是~0.57;has_direct_quote=否;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=否;negative_outcome_happened=是;opening_type=具体事件~0.51;own_experience=是;product_role=解决方案;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv1A3EXVZLGU	asks_for_help=是;calls_out_reader_group=是;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=是;has_direct_quote=是;has_specific_place=是;has_specific_time=否;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=顺带一提~0.49;title_is_question=否;turning_point=是~0.54;withholds_product_name=否
NRT_phase3_recv1ARtq6nE06	asks_for_help=是;calls_out_reader_group=否~0.37;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=观点断言;own_experience=是;product_role=顺带一提;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv1v9lLXArh6	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是~0.63;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=否;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=主角~0.58;title_is_question=是;turning_point=否~0.46;withholds_product_name=否
NRT_phase3_recv1v9lLXTgAf	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=否~0.37;judged_by_others=是;narrator_identity=否~0.42;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv1vrL72SFzE	asks_for_help=是;calls_out_reader_group=是~0.59;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=是;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现~0.44;title_is_question=否;turning_point=是;withholds_product_name=否
NRT_phase3_recv4TC4JgofIx	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否~0.40;has_direct_quote=是;has_specific_place=否~0.49;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是~0.57;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=是;turning_point=是;withholds_product_name=否
NRT_phase3_recv4TDoP6PLAE	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=是;has_direct_quote=是;has_specific_place=是~0.62;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件;own_experience=是;product_role=未出现;title_is_question=是;turning_point=是;withholds_product_name=否
NUC_phase1_recv2lNktp6h13	asks_for_help=是;calls_out_reader_group=否~0.49;comparison_group=是;divisive_claim=否;efficacy_promise=否;ending_asks_reader=否;has_body_sensation=否;has_direct_quote=是;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=是;narrator_identity=是;negative_outcome_happened=是;opening_type=具体事件~0.55;own_experience=是;product_role=解决方案;title_is_question=是;turning_point=是;withholds_product_name=否
NUC_phase1_recv2xd6lzC7a0	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=是;has_direct_quote=否;has_specific_place=是;has_specific_time=是;invites_sharing=否;judged_by_others=否;narrator_identity=是~0.57;negative_outcome_happened=是;opening_type=感叹情绪;own_experience=是;product_role=未出现;title_is_question=否;turning_point=是~0.58;withholds_product_name=否
NUC_phase1_recv2Z8m1l4wUd	asks_for_help=是;calls_out_reader_group=否;comparison_group=否;divisive_claim=否;efficacy_promise=否;ending_asks_reader=是;has_body_sensation=否;has_direct_quote=否;has_specific_place=是;has_specific_time=否;invites_sharing=否;judged_by_others=否;narrator_identity=否;negative_outcome_happened=是;opening_type=具体事件;own_experience=否~0.41;product_role=未出现;title_is_question=是;turning_point=否;withholds_product_name=否
